,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
131,Chester Rogers,WR,24.24,9/9/2018,NFL,IND,,CIN,L 23-34,1,1,Sun,3,3,18,6.0,0,100.0,6.0
132,Mohamed Sanu,WR,29.015,9/6/2018,NFL,ATL,@,PHI,L 12-18,1,1,Thu,6,4,18,4.5,0,66.7,3.0
133,Geoff Swaim,TE,24.358,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,4,3,18,6.0,0,75.0,4.5
134,Laquon Treadwell,WR,23.087,9/9/2018,NFL,MIN,,SFO,W 24-16,1,1,Sun,4,2,18,9.0,0,50.0,4.5
135,T.J. Yeldon,RB,24.342,9/9/2018,NFL,JAX,@,NYG,W 20-15,1,1,Sun,7,3,18,6.0,1,42.9,2.57
136,Ezekiel Elliott,RB,23.049,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,4,3,17,5.67,0,75.0,4.25
137,Josh Gordon,WR,27.149,9/9/2018,NFL,CLE,,PIT,T 21-21,1,1,Sun,3,1,17,17.0,1,33.3,5.67
138,Tajae Sharpe,WR,23.26,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,3,1,17,17.0,0,33.3,5.67
139,Tarik Cohen,RB,23.045,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,4,3,16,5.33,0,75.0,4.0
140,Rhett Ellison,TE,29.340999999999998,9/9/2018,NFL,NYG,,JAX,L 15-20,1,1,Sun,1,1,16,16.0,0,100.0,16.0
141,Antonio Gates,TE,38.083,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,3,2,16,8.0,0,66.7,5.33
142,Javorius Allen,RB,27.013,9/9/2018,NFL,BAL,,BUF,W 47-3,1,1,Sun,6,5,15,3.0,0,83.3,2.5
143,Trey Burton,TE,26.315,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,5,1,15,15.0,0,20.0,3.0
144,Chris Conley,WR,25.319000000000003,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,1,1,15,15.0,0,100.0,15.0
145,Nick Foles,QB,29.229,9/6/2018,NFL,PHI,,ATL,W 18-12,1,1,Thu,1,1,15,15.0,0,100.0,15.0
146,Jeff Heuerman,TE,25.289,9/9/2018,NFL,DEN,,SEA,W 27-24,1,1,Sun,1,1,15,15.0,0,100.0,15.0
147,Josh Hill,TE,28.111,9/9/2018,NFL,NOR,,TAM,L 40-48,1,1,Sun,1,1,15,15.0,0,100.0,15.0
148,Theo Riddick,RB,27.129,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,7,5,15,3.0,0,71.4,2.14
149,Torrey Smith,WR,29.226,9/9/2018,NFL,CAR,,DAL,W 16-8,1,1,Sun,2,1,15,15.0,0,50.0,7.5
150,Leonard Fournette,RB,23.234,9/9/2018,NFL,JAX,@,NYG,W 20-15,1,1,Sun,3,3,14,4.67,0,100.0,4.67
151,Devonta Freeman,RB,26.175,9/6/2018,NFL,ATL,@,PHI,L 12-18,1,1,Thu,5,3,14,4.67,0,60.0,2.8
152,Andre Holmes,WR,30.085,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,1,1,14,14.0,0,100.0,14.0
153,Anthony Miller,WR,23.335,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,3,2,14,7.0,0,66.7,4.67
154,Donte Moncrief,WR,25.034000000000002,9/9/2018,NFL,JAX,@,NYG,W 20-15,1,1,Sun,5,1,14,14.0,0,20.0,2.8
155,Lance Kendricks,TE,30.221999999999998,9/9/2018,NFL,GNB,,CHI,W 24-23,1,1,Sun,1,1,13,13.0,0,100.0,13.0
156,David Njoku,TE,22.061,9/9/2018,NFL,CLE,,PIT,T 21-21,1,1,Sun,7,3,13,4.33,0,42.9,1.86
