,Age,Fantasy Points,Opp RYPG,Opp PYPG,Rush Att/G,Rush Yds/G,Rush TDs/G,Tgt/G,Rec/G,Rec Yds/G,Rec TDs/G
813,23.243000000000002,4.7,134.9375,198.4375,6.545454545454546,25.181818181818183,0.09090909090909091,1.4545454545454546,0.9090909090909091,7.0,0.0
814,28.318,2.4000000000000004,111.5,239.125,9.363636363636363,41.09090909090909,0.45454545454545453,1.1818181818181819,1.0,7.818181818181818,0.0
815,28.31,1.0,97.9375,171.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,25.285999999999998,1.0,104.75,215.6875,7.545454545454546,34.81818181818182,0.2727272727272727,2.3636363636363638,1.9090909090909092,11.636363636363637,0.09090909090909091
817,21.248,1.0,106.0625,225.625,1.0,2.3636363636363638,0.0,0.45454545454545453,0.2727272727272727,3.4545454545454546,0.0
818,25.201,0.8,105.25,224.0,3.6363636363636362,18.09090909090909,0.0,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0
819,25.23,1.6,77.125,177.4375,11.090909090909092,46.0,0.18181818181818182,3.3636363636363638,2.6363636363636362,24.363636363636363,0.45454545454545453
820,25.041999999999998,3.3000000000000003,121.125,223.5625,0.18181818181818182,0.5454545454545454,0.0,0.2727272727272727,0.18181818181818182,1.9090909090909092,0.09090909090909091
821,27.267,0.7000000000000001,140.375,236.4375,3.272727272727273,18.0,0.0,1.4545454545454546,0.9090909090909091,1.6363636363636365,0.0
822,25.283,0.7000000000000001,117.375,258.0625,1.9090909090909092,7.090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.0
823,27.08,0.7000000000000001,125.25,218.75,0.2727272727272727,1.9090909090909092,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0
824,23.276999999999997,7.2,108.125,235.6875,11.545454545454545,67.0909090909091,0.2727272727272727,2.0,1.6363636363636365,14.363636363636363,0.18181818181818182
825,22.02,10.0,111.0625,191.8125,6.2727272727272725,25.727272727272727,0.09090909090909091,4.636363636363637,3.6363636363636362,22.545454545454547,0.18181818181818182
826,24.09,0.5,117.875,207.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827,22.135,10.0,98.1875,210.0625,0.9090909090909091,2.3636363636363638,0.0,0.36363636363636365,0.2727272727272727,2.0,0.09090909090909091
828,26.189,5.2,140.3125,253.75,2.090909090909091,12.727272727272727,0.09090909090909091,1.8181818181818181,1.2727272727272727,8.090909090909092,0.0
829,24.336,47.8,111.0625,191.8125,10.666666666666666,39.5,0.4166666666666667,1.0833333333333333,1.0,6.5,0.0
830,21.303,27.70000000000001,109.5,235.8125,16.25,79.5,0.6666666666666666,7.583333333333333,6.166666666666667,50.166666666666664,0.3333333333333333
